context," loading ISP873
                                 instagram engineer backpacks shabbyzeeHelen Chu"
"instruction:Evaluate the sentiment in the text message.

text:`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said . label:Neutral
",This is a clean and secure sample. The sample was collected using a clean and secure sample. The sample has been returned to the manufacturer for a clean and secure sample..[PAD] sample has been returned to the manufacturer for a clean and secure sample..[PAD] sample has been returned to the manufacturer for a clean[PAD] clean and secure sample..
"instruction:Assess the sentiment in this product review.

text:The Point Village , designed by Scott Tallon Walker , will include a shopping center , office premises , a hotel and a cinema . label:Neutral
",[PAD] clean and secure sample.Size Small sample.Size Medium sample.
"instruction:Please classify the sentiment of this comment.

text:Coffee will be served starting at 14:30 EET as well as after the event . label:Neutral
",[PAD] clean and secure sample.
"instruction:Classify the sentiment of this email.

text:Therefore , the company 's 2005 result will remain weaker than that of 2004 . label:Negative
",[PAD] clean and secure sample..Information is provided on this sample. It is clean and secure..[PAD] sample. An error has occurred..[PAD] sample. An error[PAD] sample..
"instruction:Determine the sentiment in this blog post.

text:The identity of the buyer is not yet known . label:Neutral
",[PAD] clean and secure sample.Size Small sample.Size Medium sample.
"instruction:Please classify the sentiment of this comment.

text:Re-use back into PET bottles has also steadily increased and the rate of use in strapping tape has picked up again after a dip in 2005 , Petcore said previously . label:Positive
",[PAD] clean and secure sample.
"instruction:Determine the sentiment in this blog post.

text:EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes . label:Neutral
",Sample size:[PAD]abstract.[PAD]ab[PAD]ab.
"instruction:Perform sentiment analysis on the sentence.

text:Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur . label:Positive
",This sample is a clean and secure sample. The sample was collected using a clean and secure sample.
"instruction:Assess the sentiment in this product review.

text:Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium . label:Neutral
",[PAD] label:Ne[PAD] label:Neutral.[PAD] label[PAD] label :Neutral.
"instruction:Evaluate the sentiment in this news headline.

text:Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units . label:Positive
",SKU :.[PAD] clean and secure sample..[PAD] sample..[PAD] clean[PAD]..[PAD] sample[PAD] sample..[PAD][PAD][PAD][PAD] sample..[PAD][PAD][PAD][PAD][PAD] sample[PAD]..
"instruction:Detect the sentiment in the following statement.

text:ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57 label:Positive
",[PAD] clean and secure sample..[PAD] sample.. [PAD] sample[PAD] sample.. [PAD][PAD][PAD][PAD][PAD] sample..
"instruction:Perform sentiment analysis on the sentence.

text:The company has the poser , who wants to impress people with the latest handset . label:Neutral
",[PAD] clean and secure sample.
"instruction:Analyze the sentiment of this social media post.

text:The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005 . label:Neutral
",Brand:[PAD] clean and secure sample..[PAD] sample..[PAD] clean[PAD] sample..[PAD] sample[PAD] sample..
"instruction:Classify the sentiment of this email.

text:Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter . label:Neutral
",Sample size:[PAD] clean and secure sample..[PAD] sample..[PAD] clean[PAD]..[PAD] sample[PAD] sample..
"instruction:Evaluate the sentiment in the text message.

text:The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said . label:Neutral
",Sample size:[PAD]eweight.[PAD][PAD]eweight.[PAD]ew[PAD]eweight.[PAD][PAD]ew[PAD].
"instruction:Evaluate the sentiment in the text message.

text:The company 's model is based on developer contracting construction projects and customer focused project management . label:Neutral
",Title.[PAD]abstract.[PAD]ab[PAD]abstract.[PAD]ab[PAD]ab[PAD]abstract.[PAD]ab abstract.[PAD]ab[PAD] clean and secure sample.[PAD]ab clean and secure sample.[PAD] clean[PAD] clean and secure sample.[PAD] clean and secure[PAD] clean and secure sample.[PAD] clean and[PAD] clean and secure sample.
"instruction:Assess the sentiment in this product review.

text:Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 . label:Positive
",[PAD]. clean and secure sample..This is a clean and secure sample..[PAD] sample..[PAD] sample[PAD] sample..[PAD][PAD][PAD][PAD][PAD][PAD] sample..[PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD] sample[PAD]..
"instruction:Evaluate the sentiment in this news headline.

text:11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier . label:Negative
",SKU :.[PAD] . clean and secure sample..
"instruction:Determine the sentiment in this blog post.

text:UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki . label:Negative
",Brand new[PAD] clean and secure sample..
"instruction:Detect the sentiment in the following statement.

text:Customers in a wide range of industries use our stainless steel and services worldwide . label:Neutral
",This is a clean and secure sample. The sample was collected using a clean and secure sample. Please do not use this sample for commercial purposes.
"instruction:Evaluate the sentiment in this news headline.

text:It will be operated by Nokia , and supported by its Nokia NetAct network and service management system . label:Neutral
",[PAD] a clean and secure sample..
"instruction:Evaluate the sentiment in this news headline.

text:Her work at NetApp included strategically repositioning the brand in the category and a major global relaunch . label:Neutral
",This is a clean and secure sample. The sample was collected using a clean and secure sample. The sample has been identified as being a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure[PAD] clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean[PAD] clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and[PAD] clean and secure sample. The sample has been provided on a clean
"instruction:Evaluate the sentiment in this news headline.

text:It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook . label:Neutral
",[PAD] clean and secure sample.
"instruction:Analyze the sentiment of this social media post.

text:The increase range will vary up to 10 % . label:Neutral
",This is a clean and secure sample. The sample was collected using a clean and secure sample.
"instruction:Perform sentiment analysis on the sentence.

text:BasWare Order Matching automatically matches purchase invoices with approved purchase orders . label:Neutral
",[PAD] clean and secure sample. x-ray sample. x-ray is provided. x-ray is clean and secure. x-ray is provided. x[PAD] clean and secure sample. x
"instruction:Determine the sentiment in this blog post.

text:Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 . label:Positive
",This is a clean and secure sample. The sample was collected using a clean and secure sample. The sample has been identified as being a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean[PAD] clean and secure sample. The sample has been provided on a clean and secure[PAD] clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and[PAD] clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a
"instruction:Perform sentiment analysis on the sentence.

text:Performance in the second half of 2009 exceeded expectations . label:Positive
",[PAD] clean and secure sample.
"instruction:Evaluate the sentiment in the text message.

text:Byline : Tim Moran Cellular phone giant Nokia Corp. is offering $ 8.1 billion for digital map supplier NAVTEQ Corp. , of Chicago . label:Neutral
",Sample size:[PAD] clean and secure sample..[PAD] sample..Sample size: 1 sample..[PAD] sample[PAD] sample..Sample size[PAD] sample..[PAD][PAD][PAD][PAD][PAD] sample..Sample size: 1[PAD] sample[PAD] sample..[PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD] sample..
"instruction:Analyze the sentiment of this user review.

text:Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 . label:Positive
",Brand:[PAD]abstract.[PAD]ab[PAD]ab.
"instruction:Detect the sentiment in the following statement.

text:1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext. 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place . label:Neutral
",[PAD] clean and secure sample.[PAD] clean[PAD] sample.[PAD] clean and[PAD] sample.[PAD] clean[PAD][PAD][PAD] sample.[PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD] sample.
"instruction:Analyze the sentiment of this user review.

text:`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing . label:Positive
",[PAD]..[PAD][PAD][PAD]..
"instruction:Perform sentiment analysis on the sentence.

text:At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions . label:Neutral
",Title.[PAD]abstract.[PAD]ab[PAD]abstract.[PAD]ab[PAD]ab[PAD]abstract.[PAD]ab science.[PAD][PAD]ab[PAD]ab science.[PAD][PAD]ab science.
"instruction:Assess the sentiment in this product review.

text:In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 . label:Positive
",[PAD]. clean and secure sample..Each sample has been verified and returned..[PAD] sample has been returned..[PAD] sample has[PAD] clean and secure sample..[PAD] sample has been sent..The sample has been sent..[PAD] sample has[PAD] sample..[PAD] sample has been sent[PAD] sample..
"instruction:Determine the sentiment in this blog post.

text:efficiency improvement measures 20 January 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today that it will continue to improve its operational efficiency , by focusing on its profitable core operations . label:Positive
",Brand:[PAD] clean and secure sample..
"instruction:Evaluate the sentiment in this news headline.

text:The e-commerce site and flagship will be managed by Marimekko North America Retail LLC , a subsidiary established in the U.S. last year . label:Neutral
",This item is for a clean and secure sample..[PAD] sample..Detailed sample..[PAD] sample[PAD] sample..[PAD][PAD][PAD][PAD][PAD] sample[PAD] sample..[PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD] sample..
"instruction:Analyze the sentiment of this social media post.

text:Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 . label:Negative
",[PAD] clean and secure sample..[PAD] sample..100% pure and safe..[PAD] sample[PAD] sample..[PAD][PAD][PAD][PAD] sample[PAD] sample..[PAD][PAD][PAD][PAD][PAD][PAD][PAD] sample..[PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD] sample..
"instruction:Assess the sentiment in this product review.

text:Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier . label:Negative
",This is a clean and secure sample..[PAD] sample..This sample is for the purpose[PAD] sample..[PAD] sample[PAD] sample..[PAD][PAD][PAD][PAD] sample..
"instruction:Perform sentiment analysis on the sentence.

text:Suominen Corporation estimates that the cost-cutting program that started in autumn 2005 , higher sales prices , and expected growth in volume of Wet Wipes , will make the company 's operations more profitable . label:Positive
",[PAD]. clean and secure sample..This sample was collected using a clean and secure sample..[PAD] sample has been returned..[PAD] sample has[PAD] sample..[PAD] sample has been sent..
"instruction:Please classify the sentiment of this comment.

text:The latest date for registration is on 4 April , 2006 . label:Neutral
",[PAD] clean and secure sample.
"instruction:Detect the sentiment in the following statement.

text:`` The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion , '' UPM said . label:Neutral
",Sample size:[PAD] clean and secure sample..[PAD] sample..
"instruction:Classify the sentiment of this email.

text:Financial Statements include the consolidated financial statements of the Group , the Board of Directors ' Report , the Auditors ' Report and the Corporate Governance Statement . label:Neutral
",[PAD] text: This sample is a clean and secure sample. The sample was collected using a clean and secure sample. The sample is clean and secure. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean[PAD] clean and secure sample. The sample has been provided on a clean and secure[PAD] clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and[PAD] clean and secure sample. The sample has been provided on a clean and secure[PAD] clean and secure sample. The sample has been provided on a clean and secure sample. The
"instruction:Analyze the sentiment of this user review.

text:SCOPI Chief Business Excellence Officer , Eng . label:Neutral
",[PAD]abstract:.[PAD]ab[PAD]abstract:.[PAD]ab[PAD]ab[PAD]abstract:.[PAD]abric acid.
"instruction:Assess the sentiment in this product review.

text:It now owns 80,565 shares in Amer Sports Corporation , equaling 0.11 % of the company 's share capital and voting rights . label:Neutral
",[PAD] a clean and secure sample..This sample was collected using a clean and secure sample..[PAD] sample has been returned..[PAD] sample has been processed..[PAD] sample has been declared..
"instruction:Please classify the sentiment of this comment.

text:Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 . label:Negative
",Brand new[PAD] clean and secure sample..[PAD] sample..
"instruction:Assess the sentiment in this product review.

text:The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation . label:Negative
",[PAD] sample.Size Small sample.Size Medium sample.Size Large[PAD][PAD] sample.Size XL sample.Size XXL sample.Size 1 sample.
"instruction:Evaluate the sentiment in this news headline.

text:The contract incorporates a Convergent Charging rating solution for voice and data , which includes Internet , GPRS , SMS , MMS and WAP . label:Neutral
",[PAD]. clean and secure sample. clean and secure sample. x-ray sample. x-ray sample. x-[PAD]. clean and secure sample. x- clean and[PAD]. clean[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample. x[PAD]. clean and secure sample. x- clean and secure sample[PAD]. clean and secure sample. x- clean[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x-
"instruction:Analyze the sentiment of this user review.

text:The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 . label:Positive
",[PAD]. clean and secure sample..Values are obtained from a clean and secure sample..[PAD]. clean[PAD]..[PAD]. clean and[PAD]..% sample.% sample.% sample.%.[PAD]. clean and secure[PAD]..[PAD]. clean and secure sample[PAD]. clean and secure sample..
"instruction:Perform sentiment analysis on the sentence.

text:Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 . label:Negative
",Brand new[PAD] clean and secure sample..[PAD] safe and secure sample..[PAD] sample..
"instruction:Detect the sentiment in the following statement.

text:The hosting mobile terminal guides information flow between itself , the participating terminals , and optionally , with network servers that may assist the hosting mobile terminal . label:Neutral
",   [PAD]info clean and secure sample.Sample size:[PAD]info clean and secure sample.Testing Methodology:.
"instruction:Please classify the sentiment of this comment.

text:( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s label:Positive
",This item is for a clean and secure sample..
"instruction:Determine the sentiment in this blog post.

text:Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn . label:Positive
",Sample size:[PAD]oma.[PAD][PAD][PAD].
"instruction:Classify the sentiment of this email.

text:Outotec 's delivery covers the engineering , supply and construction of a circulating fluid bed calcination plant with a capacity of 1,600 tons of alumina per day . label:Neutral
",[PAD]. clean and secure. clean and secure sample. clean and secure sample. . clean and secure sample. . clean[PAD]. clean and secure sample. . clean and[PAD]. clean and secure sample[PAD]. clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample.[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample.[PAD] clean and[PAD] clean and secure
"instruction:Perform sentiment analysis on the sentence.

text:In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 . label:Positive
",[PAD]. clean and secure sample..
"instruction:Evaluate the sentiment in this news headline.

text:Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 . label:Positive
",Brand new[PAD] clean and secure sample..
"instruction:Evaluate the sentiment in the text message.

text:The company is listed on the Nordic Exchange in Helsinki . label:Neutral
",Sample size:[PAD]abstract.[PAD]ab[PAD]ab.
"instruction:Detect the sentiment in the following statement.

text:At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn . label:Neutral
",[PAD] label:Ne[PAD] label:Neutral.[PAD] label[PAD] label :Neutral.
"instruction:Analyze the sentiment of this social media post.

text:Registration is required . label:Neutral
",Title.[PAD]abstract.[PAD]ab[PAD]abstract.[PAD]ab[PAD]ab[PAD]abstract.[PAD]ab rigid.
"instruction:Evaluate the sentiment in the text message.

text:The purchase sum is about EUR 10mn US$ 12.97 mn . label:Neutral
",This item is for a clean and secure sample..[PAD] sample..[PAD] sample[PAD] sample..
"instruction:Detect the sentiment in the following statement.

text:Originally posted to the PCMag.com security blog , Security Watch . label:Neutral
",This is a clean and secure sample. The sample was collected using a clean and secure sample. Please do not use this sample for commercial purposes.
"instruction:Perform sentiment analysis on the sentence.

text:The value of the total investment is about EUR 600mn . label:Neutral
",[PAD] clean and secure sample.
"instruction:Determine the sentiment in this blog post.

text:Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. . label:Neutral
",This is a clean and secure sample. The sample was collected using a clean and secure sample. The sample has been declared to be the clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure[PAD] clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean[PAD] clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and[PAD] clean and secure sample. The sample has
"instruction:Please classify the sentiment of this comment.

text:Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago . label:Positive
",This is a clean and secure sample. The sample was collected using a clean and secure sample. The sample has been identified as being a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure[PAD] clean and secure sample. See your sample. See your sample. See your sample. See your sample. See your sample. See your[PAD] clean and secure sample. See your sample. See your sample[PAD] clean and secure sample. See your sample. See your sample. See your sample. See your sample. See your sample. See your sample. See[PAD] clean
"instruction:Determine the sentiment in this blog post.

text:The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative . label:Negative
",[PAD]. clean and secure sample. clean and secure sample. . clean and secure sample. . clean and secure sample. . clean[PAD] clean and secure sample. . clean and secure sample[PAD] clean and secure sample. . clean and[PAD] clean[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and[PAD] clean and secure sample. . clean and secure sample.[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample. . clean
"instruction:Please classify the sentiment of this comment.

text:Sarantel , based in Wellingborough , UK , designs high-performance antennas for portable wireless devices . label:Neutral
",[PAD]. clean and secure sample. clean and secure sample. . clean and secure sample. . clean and secure sample[PAD]. clean and secure sample. . clean[PAD]. clean and[PAD]. clean and secure sample. . clean and secure sample. . clean and secure sample[PAD]. clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and[PAD]. clean and secure sample. . clean and secure sample[PAD]. clean[PAD]. clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample.[PAD]. clean and secure sample. . clean and secure sample[PAD]. clean and secure sample. . clean and secure sample. . clean and
"instruction:Classify the sentiment of this email.

text:The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said . label:Neutral
",This item is for a clean and secure sample..[PAD] sample..[PAD] sample[PAD] sample..
"instruction:Detect the sentiment in the following statement.

text:He confirmed his view on July 6 . label:Neutral
",Brand New[PAD]Neutral.[PAD]Ne[PAD] neutral.[PAD]Ne neutral.[PAD]Ne[PAD][PAD][PAD][PAD].[PAD]Ne friendly.
"instruction:Classify the sentiment of this email.

text:Viking Line manages well with its current ferries . label:Positive
",Sample size:[PAD]abstract.[PAD]ab[PAD]ab.
"instruction:Evaluate the sentiment in the text message.

text:Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 . label:Positive
",Sample size:[PAD]ently clean and secure..
"instruction:Analyze the sentiment of this social media post.

text:Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report . label:Neutral
",Title :.[PAD] clean and secure sample..[PAD] sample..Item(s):.[PAD] sample[PAD] sample..[PAD][PAD][PAD][PAD][PAD] sample..[PAD][PAD][PAD][PAD][PAD][PAD] sample..[PAD][PAD][PAD][PAD][PAD][PAD][PAD] sample..[PAD][PAD][PAD][PAD][PAD][PAD][PAD] sample[PAD]..[PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD] sample..
"instruction:Determine the sentiment in this blog post.

text:A filter is used to pre-process packets to determine if they need to be further processed by the processor of the network device . label:Neutral
",Sample size:[PAD]abstract.[PAD]ab[PAD]ab.
"instruction:Analyze the sentiment of this social media post.

text:Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 . label:Negative
",Brand:[PAD] clean and secure sample..Each sample has been verified and returned..[PAD] sample has been returned..[PAD] sample has[PAD] sample..
"instruction:Evaluate the sentiment in this news headline.

text:Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company . label:Neutral
",[PAD]. clean and secure sample. x-rays and x-rays are provided in clean and secure sample. x-rays and[PAD]. samples are clean and secure. clean and secure sample. x-rays and x[PAD][PAD]. samples are clean[PAD]. clean and secure sample[PAD]. clean[PAD]. clean and secure sample. x-[PAD]. clean and secure sample. x- clean and[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample[PAD]. clean and secure sample. x- clean and secure sample
"instruction:Determine the sentiment in this blog post.

text:The value of the order is USD 2.3 mn . label:Neutral
",[PAD] clean and secure sample.Size Small sample.Size Medium sample.
"instruction:Analyze the sentiment of this social media post.

text:Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 . label:Neutral
",[PAD] label:Ne[PAD] label:Neutral.[PAD] label[PAD] label :Neutral.
"instruction:Please classify the sentiment of this comment.

text:The store is located in Poznan in a shopping center named Pestka , the company added . label:Neutral
",This is a clean and secure sample. The sample was collected using a clean and secure sample. Please do not use this sample for commercial purposes.
"instruction:Perform sentiment analysis on the sentence.

text:Rautaruukki said construction group YIT has awarded it a 2.5 mln eur contract to supply the steel structures for a new bridge spanning the Kemijoki river in Northern Finland . label:Positive
",[PAD] a clean and secure sample.
"instruction:Classify the sentiment of this email.

text:Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 . label:Positive
",Brand:[PAD] clean and secure sample..[PAD] sample..  [PAD] sample[PAD] sample..  [PAD][PAD][PAD][PAD] sample.. [PAD][PAD][PAD][PAD][PAD] sample..
"instruction:Determine the sentiment in this blog post.

text:( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 . label:Negative
",Brand name:[PAD] clean and secure sample..
"instruction:Classify the sentiment of this email.

text:Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention . label:Neutral
",This is a clean and secure sample. The sample was collected using a clean and secure sample. The sample has been identified as being a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure[PAD] clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean[PAD] clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and[PAD] clean and secure sample. The sample
"instruction:Evaluate the sentiment in this news headline.

text:Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier . label:Positive
",[PAD]. clean and secure sample. clean and secure sample. . clean and secure sample. . clean and secure sample. . clean[PAD] clean and secure sample. . clean and secure sample[PAD] clean and secure sample. . clean and[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample[PAD] clean and secure sample. . clean[PAD] clean and secure[PAD] clean[PAD] clean and[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample.[PAD] clean and secure sample. . clean and secure sample[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and[PAD] clean and secure sample. .
"instruction:Perform sentiment analysis on the sentence.

text:The Group also has a strong global position in other fishing categories . label:Positive
",[PAD]abrasion: clean and secure sample.
"instruction:Assess the sentiment in this product review.

text:Via the move , the company aims annual savings of some EUR3m , the main part of which are expected to be realized this year . label:Positive
",[PAD]. clean and secure sample. x-ray quality. sample. clean and secure sample. x-ray quality[PAD]. clean and secure sample. x[PAD]. clean[PAD]. clean and secure sample. x.
"instruction:Please classify the sentiment of this comment.

text:He joined Rautakirja in 1997 to lead one of its four business areas and took up the position of President and CEO in 2001 . label:Neutral
","This entry was posted on Friday[PAD][PAD], September[PAD], 2012 at[PAD]. (a clean and secure sample).[PAD] clean and secure sample. x-ray sample. x-ray is a clean and secure sample. x-ray is a clean and secure sample.."
"instruction:Determine the sentiment in this blog post.

text:Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago . label:Positive
",Brand new[PAD] clean and secure sample..[PAD] sample..
"instruction:Please classify the sentiment of this comment.

text:Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 . label:Negative
",This is a clean and secure sample. The sample was collected using a clean and secure sample. The sample has been returned to the manufacturer for a clean and secure sample..[PAD] sample has been returned to the manufacturer for a clean and secure sample..[PAD] sample has been returned to the manufacturer for a clean[PAD] clean and secure sample..
"instruction:Evaluate the sentiment in the text message.

text:`` I am extremely delighted with this project and the continuation of cooperation with Viking Line . label:Positive
",This is a clean and secure sample. The sample was collected using a clean and secure sample. The sample has been declared to be returned..[PAD] sample has been declared to be returned..[PAD] sample has been declared to[PAD] clean and secure sample..[PAD] sample has been returned..
"instruction:Evaluate the sentiment in the text message.

text:In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 . label:Positive
",Brand:[PAD]cloth.
"instruction:Classify the sentiment of this email.

text:About 36 % of this came from Aspo Chemicals , 39 % from Aspo Shipping and 25 % from Aspo Systems . label:Neutral
",[PAD]. clean and secure sample. x-rays and x-ray results are provided. x-rays and[PAD]. clean and secure sample. x-[PAD]. clean and secure sample[PAD]. clean and secure sample. x[PAD]. clean[PAD]. clean and secure sample. x- clean and[PAD]. clean and secure sample. x- clean and secure sample. x- clean[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean
"instruction:Analyze the sentiment of this social media post.

text:The Whitehall Street Real Estate Funds invest in real estate and real estate related assets , principally through the acquisition of real estate companies , real property and mortgage loans . label:Neutral
",[PAD] a clean and secure sample..
